from_zone,to_zone,from_naam,to_naam,freeflow_s,meters
Z03,Z68,Bedrijvenpark Noord-West,Zestienhoven,378,3951
Z03,Z69,Bedrijvenpark Noord-West,Zevenkamp,917,15346
Z03,Z70,Bedrijvenpark Noord-West,Zuiderpark,1153,13284
Z03,Z71,Bedrijvenpark Noord-West,Zuidplein,974,11403
Z03,Z72,Bedrijvenpark Noord-West,Zuidwijk,1202,13941
Z04,Z00,Bergpolder,'s-Gravenland,696,10002
Z04,Z01,Bergpolder,Afrikaanderwijk,724,6684
Z04,Z02,Bergpolder,Agniesebuurt,243,1766
Z04,Z03,Bergpolder,Bedrijvenpark Noord-West,490,6381
Z04,Z04,Bergpolder,Bergpolder,49,0
Z04,Z05,Bergpolder,Beverwaard,997,15610
Z04,Z06,Bergpolder,Blijdorp,144,1144
Z04,Z07,Bergpolder,Blijdorpsepolder,369,2977
Z04,Z08,Bergpolder,Bloemhof,804,7812
Z04,Z09,Bergpolder,Bospolder,569,5030
Z04,Z10,Bergpolder,Carnisse,676,6509
Z04,Z11,Bergpolder,Charlois Zuidrand,938,9212
Z04,Z12,Bergpolder,Cool,450,3926
Z04,Z13,Bergpolder,Cs Kwartier,291,2452
Z04,Z14,Bergpolder,De Esch,648,10784
Z04,Z15,Bergpolder,Delfshaven,443,4241
Z04,Z16,Bergpolder,Dijkzigt,386,3711
Z04,Z17,Bergpolder,Feijenoord,792,6487
Z04,Z18,Bergpolder,Groot IJsselmonde,914,14622
Z04,Z19,Bergpolder,Heijplaat,1167,11793
Z04,Z20,Bergpolder,Het Lage Land,671,7375
Z04,Z21,Bergpolder,Hillegersberg Noord,405,3999
Z04,Z22,Bergpolder,Hillegersberg Zuid,200,1933
Z04,Z23,Bergpolder,Hillesluis,799,7451
Z04,Z24,Bergpolder,Hoogvliet Noord,965,16482
Z04,Z25,Bergpolder,Hoogvliet Zuid,1240,19724
Z04,Z26,Bergpolder,Katendrecht,818,7167
Z04,Z27,Bergpolder,Kleinpolder,248,2923
Z04,Z28,Bergpolder,Kop van Zuid,600,5477
Z04,Z29,Bergpolder,Kop van Zuid - Entrepot,697,6402
Z04,Z30,Bergpolder,Kralingen Oost,563,6009
Z04,Z31,Bergpolder,Kralingen West,437,4366
Z04,Z32,Bergpolder,Kralingse Bos,622,5920
Z04,Z33,Bergpolder,Kralingseveer,693,11426
Z04,Z34,Bergpolder,Liskwartier,179,1249
Z04,Z35,Bergpolder,Lombardijen,942,9768
Z04,Z36,Bergpolder,Middelland,344,3034
Z04,Z37,Bergpolder,Molenlaankwartier,521,4849
Z04,Z38,Bergpolder,Nesselande,912,12657
Z04,Z39,Bergpolder,Nieuw Crooswijk,316,3378
Z04,Z40,Bergpolder,Nieuwe Werk,551,5119
Z04,Z41,Bergpolder,Nieuwe Westen,406,3385
Z04,Z42,Bergpolder,Noord Kethel,742,9397
Z04,Z43,Bergpolder,Noordereiland,621,5451
Z04,Z44,Bergpolder,Ommoord,702,10402
Z04,Z45,Bergpolder,Oosterflank,646,9571
Z04,Z46,Bergpolder,Oud Charlois,622,6117
Z04,Z47,Bergpolder,Oud Crooswijk,312,3083
Z04,Z48,Bergpolder,Oud IJsselmonde,734,12759
Z04,Z49,Bergpolder,Oud Mathenesse,445,5696
Z04,Z50,Bergpolder,Oude Noorden,256,1938
